,Date,Open,High,Low ,Close
Mo,4/3/2019,131.048,131.135,122.62,125.4
,,0,,,
Fr,1/3/2019,135.07,137.605,133.717,136.103
Th,28/2/2019,130.882,139.02,130.115,135.07
We,27/2/2019,134.855,139.775,126.125,130.895
Tu,26/2/2019,135.735,138.775,132.747,134.853
Mo,25/2/2019,138.198,141.22,131.417,135.74
,,0,,,
Fr,22/2/2019,143.467,147.512,142.185,146.943
Th,21/2/2019,144.975,148.763,141.633,143.482
We,20/2/2019,143.04,147.52,139.607,144.975
Tu,19/2/2019,141.255,149.288,140.478,143.04
Mo,18/2/2019,126.44,148.09,125.458,141.255
,,0,,,
Fr,15/2/2019,120.445,123.113,119.033,120.428
Th,14/2/2019,120.482,123.183,118.363,120.445
We,13/2/2019,119.72,125.213,119.55,120.482
Tu,12/2/2019,119.53,122.342,117.05,119.72
Mo,11/2/2019,117.212,125.053,116.94,119.53
,,0,,,
Fr,8/2/2019,103.19,121.837,102.39,117.375
Th,7/2/2019,103.18,104.79,102.65,103.185
We,6/2/2019,106.042,106.493,100.107,103.182
Tu,5/2/2019,106.557,106.568,105.085,106.04
Mo,4/2/2019,106.188,107.882,104.462,106.557
,,0,,,
Fr,1/2/2019,105.753,106.783,103.015,106.315
Th,31/1/2019,107.298,110.085,104.742,105.753
We,30/1/2019,104.575,109.362,102.905,107.3
Tu,29/1/2019,103.518,106.69,102.167,104.575
Mo,28/1/2019,113.527,113.652,100.955,103.518
,,0,,,
Fr,25/1/2019,116.452,117.037,114.197,115.048
Th,24/1/2019,116.313,117.213,113.662,116.46
We,23/1/2019,117.565,118.79,114.987,116.333
Tu,22/1/2019,115.112,119.527,111.06,117.565
Mo,21/1/2019,116.99,118.135,113.62,115.11
,,0,,,
Fr,18/1/2019,121.607,123.333,118.188,119.5
Th,17/1/2019,122.37,123.747,117.23,121.62
We,16/1/2019,117.9,127.705,117.727,122.385
Tu,15/1/2019,128.015,130.388,117.005,117.9
Mo,14/1/2019,116.032,131.298,113.485,128.015
,,0,,,
Fr,11/1/2019,126.997,128.673,121.575,125.367
Th,10/1/2019,149.527,150.902,122.212,126.997
We,9/1/2019,148.925,152.772,147.99,149.552
Tu,8/1/2019,150.485,152.982,146.47,148.925
Mo,7/1/2019,157.652,158.533,149.708,150.482
,,0,,,
Fr,4/1/2019,147.973,155.575,145.193,154.14
Th,3/1/2019,154.55,156.62,144.522,147.973
We,2/1/2019,137.74,155.897,136.63,154.55
Tu,1/1/2019,129.962,140.357,129.585,137.74
Mo,31/12/2018,136.737,140.31,128.63,130.04
,,0,,,
Fr,28/12/2018,115.475,138.28,112.522,134.598
Th,27/12/2018,128.47,131.965,113.327,115.475
We,26/12/2018,130.365,136.725,123.52,128.397
Tu,25/12/2018,142.225,144.44,121.967,130.06
Mo,24/12/2018,128.265,159.11,127.003,142.23
,,0,,,
Fr,21/12/2018,114.195,118.875,105.155,108.022
Th,20/12/2018,98.902,117.037,98.505,114.195
We,19/12/2018,93.867,107.692,93.84,98.902
Tu,18/12/2018,93.915,96.007,91.535,93.853
Mo,17/12/2018,85.02,96.733,83.35,93.915
,,0,,,
Fr,14/12/2018,84.333,85.897,80.932,81.79
Th,13/12/2018,89.9,90.272,83.557,84.34
We,12/12/2018,87.905,90.997,86,89.897
Tu,11/12/2018,89.057,90.927,85.052,87.91
Mo,10/12/2018,94.927,96.415,87.558,89.057
,,0,,,
Fr,7/12/2018,95.07,96.507,81.19,92.997
Th,6/12/2018,101.688,103.02,93.882,95.07
We,5/12/2018,108.877,109.105,100.88,101.688
Tu,4/12/2018,108.442,111.98,104.757,108.867
Mo,3/12/2018,115.412,117.045,104.895,108.44
,,0,,,
Fr,30/11/2018,114.95,119.072,109.412,111.488
Th,29/11/2018,120.602,122.992,113.13,114.907
We,28/11/2018,108.45,125.563,107.387,120.6
Tu,27/11/2018,104.385,109.352,99.127,108.45
Mo,26/11/2018,111.298,118.83,102.76,104.382
,,0,,,
Fr,23/11/2018,128.758,129.17,116.552,120.065
Th,22/11/2018,132.212,136.585,126.882,128.755
We,21/11/2018,131.24,137.293,122.15,132.212
Tu,20/11/2018,147.268,149.518,121.527,131.29
Mo,19/11/2018,173.19,179.47,142.563,147.268
,,0,,,
Fr,16/11/2018,175.235,179.563,170.46,170.918
Th,15/11/2018,176.115,180.772,165.277,175.235
We,14/11/2018,203.59,204.93,165.288,176.115
Tu,13/11/2018,207.913,208.943,202.738,203.598
Mo,12/11/2018,207.512,211.038,207.325,207.913
,,0,,,
Fr,9/11/2018,212.53,212.667,206.207,207.753
Th,8/11/2018,217.057,218.235,210.523,212.53
We,7/11/2018,215.938,222.512,215.47,217.057
Tu,6/11/2018,206.825,216.33,206.77,215.938
Mo,5/11/2018,205.013,217.003,205.005,206.825
,,0,,,
Fr,2/11/2018,197.242,201.438,196.883,200.048
Th,1/11/2018,196.44,197.69,196.188,197.242
We,31/10/2018,194.667,198.762,192.082,196.44
Tu,30/10/2018,193.265,195.305,192.91,194.667
Mo,29/10/2018,202.03,202.932,191.99,193.265
,,0,,,
Fr,26/10/2018,199.932,204.155,198.645,200.67
Th,25/10/2018,204.49,205.23,198.12,199.932
We,24/10/2018,205.598,207.135,200.535,204.49
Tu,23/10/2018,206.385,207.175,202.988,205.598
Mo,22/10/2018,207.192,207.992,204.788,206.385
,,0,,,
Fr,19/10/2018,202.128,206.807,197.465,204.458
Th,18/10/2018,202.995,210.735,197.31,202.128
We,17/10/2018,207.173,212.92,202.39,206.163
Tu,16/10/2018,204.717,213.435,201.095,207.173
Mo,15/10/2018,199.693,223.71,190.295,204.717
,,0,,,
Fr,12/10/2018,199.27,201.49,186.52,196.615
Th,11/10/2018,225.012,226.67,193.14,199.27
We,10/10/2018,226.667,228.24,221.81,225.012
Tu,9/10/2018,229.395,230.535,225.145,226.667
Mo,8/10/2018,223.087,231.005,222.115,229.395
,,0,,,
Fr,5/10/2018,222.095,224.49,218.95,222.192
Th,4/10/2018,217.113,225.765,215.795,222.095
We,3/10/2018,225.652,227.64,214.89,217.113
Tu,2/10/2018,229.242,231.268,223.1,225.652
Mo,1/10/2018,232.372,234.568,224.42,229.242
,,0,,,
Fr,28/9/2018,228.177,233.665,215.075,220.527
Th,27/9/2018,219.307,233.323,210.448,228.177
We,26/9/2018,213.982,222.495,207.41,219.307
Tu,25/9/2018,234.438,234.455,203.69,213.982
Mo,24/9/2018,243.837,245.78,230.22,234.455
,,0,,,
Fr,21/9/2018,208.655,251.81,208.003,242.49
Th,20/9/2018,210.868,215.82,206.827,208.647
We,19/9/2018,207.78,214.677,197.28,210.898
Tu,18/9/2018,194.845,214.177,194.2,207.78
Mo,17/9/2018,217.947,224.595,192.513,194.845
,,0,,,
Fr,14/9/2018,205.695,223.878,202.865,218.563
Th,13/9/2018,181.93,211.822,180.47,205.69
We,12/9/2018,181.845,186.38,167.482,181.978
Tu,11/9/2018,196.535,199.125,176.285,181.848
Mo,10/9/2018,198.32,202.79,186.715,196.53
,,0,,,
Fr,7/9/2018,224.698,234.325,213.7,218.425
Th,6/9/2018,245.553,246.565,211.48,224.697
We,5/9/2018,285.297,287.275,239.563,245.553
Tu,4/9/2018,290.557,292.24,281.67,285.297
Mo,3/9/2018,295.192,296.34,285.49,290.557
,,0,,,
Fr,31/8/2018,284.633,285.905,275.747,283.24
Th,30/8/2018,289.897,291.53,272.335,284.633
We,29/8/2018,294.04,297.74,284.212,289.897
Tu,28/8/2018,276.765,296.07,275.77,294.04
Mo,27/8/2018,273.717,279.145,271.905,276.765
,,0,,,
Fr,24/8/2018,273.4,281.765,270.87,279.985
Th,23/8/2018,267.79,280.32,259.91,273.4
We,22/8/2018,277.282,298.84,267.6,267.79
Tu,21/8/2018,286.165,286.465,269.405,277.277
Mo,20/8/2018,295.062,303.622,282.135,286.165
,,0,,,
Fr,17/8/2018,283.385,307.93,281.555,300.505
Th,16/8/2018,287.712,298.885,277.237,283.38
We,15/8/2018,259.077,304.42,259.005,287.72
Tu,14/8/2018,288.542,289.587,251.085,259.077
Mo,13/8/2018,320.307,326.657,284.957,288.542
,,0,,,
Fr,10/8/2018,363.478,370.575,342.735,342.945
Th,9/8/2018,357.88,368.155,350.465,363.47
We,8/8/2018,384.662,384.815,348.542,357.88
Tu,7/8/2018,403.382,410.225,383.17,384.662
Mo,6/8/2018,405.03,413.25,403.062,403.382
,,0,,,
Fr,3/8/2018,409.71,419.675,397.945,415.495
Th,2/8/2018,409.563,424.427,407.81,409.71
We,1/8/2018,432.17,434.895,409.217,409.563
Tu,31/7/2018,453.547,458.025,427.777,432.17
Mo,30/7/2018,466.002,469.54,446.115,453.547
,,0,,,
Fr,27/7/2018,471.937,471.947,456.392,466.685
Th,26/7/2018,475.217,483.975,470.907,471.937
We,25/7/2018,472.025,484.345,463.88,475.077
Tu,24/7/2018,447.847,483.78,446.342,472.025
Mo,23/7/2018,462.97,469.245,447.275,447.847
,,0,,,
Fr,20/7/2018,467.042,476.36,442.115,444.25
Th,19/7/2018,473.51,483.735,462.698,467.042
We,18/7/2018,499.872,514.635,469.465,473.515
Tu,17/7/2018,475.87,511.175,465.902,499.872
Mo,16/7/2018,449.56,479.43,444.645,475.87
,,0,,,
Fr,13/7/2018,427.69,441.527,418.01,430.572
Th,12/7/2018,437.685,445.705,426.25,427.69
We,11/7/2018,440.677,447.075,424.677,437.685
Tu,10/7/2018,475.14,482.912,428.727,440.677
Mo,9/7/2018,490.505,491.325,472.725,475.14
,,0,,,
Fr,6/7/2018,463.22,475.69,451.665,468.425
Th,5/7/2018,474.475,478.2,458.105,463.22
We,4/7/2018,469.95,481.805,451.505,474.475
Tu,3/7/2018,474.86,486.987,462.135,469.985
Mo,2/7/2018,448.205,480.745,443.595,474.86
,,0,,,
Fr,29/6/2018,433.48,436.702,404.995,413.17
Th,28/6/2018,434.54,446.552,430.225,433.48
We,27/6/2018,440.91,448.87,419.513,434.54
Tu,26/6/2018,458.66,463.955,436.81,440.91
Mo,25/6/2018,454.445,473.085,445.02,458.68
,,0,,,
Fr,22/6/2018,525.91,526.975,457.115,462.915
Th,21/6/2018,532.66,545.07,521.88,525.91
We,20/6/2018,531.38,541.785,517.095,532.66
Tu,19/6/2018,518.96,547.78,515.07,531.38
Mo,18/6/2018,500.32,524.4,487.615,518.965
,,0,,,
Fr,15/6/2018,519.22,521.25,485.95,494.42
Th,14/6/2018,470.135,526.575,459.887,519.22
We,13/6/2018,490.705,501.28,450.09,470.135
Tu,12/6/2018,515.675,539.725,484.705,490.705
Mo,11/6/2018,531.405,538.475,502.995,515.67
,,0,,,
Fr,8/6/2018,602.225,608.07,592.87,598.725
Th,7/6/2018,604.405,616.525,598.625,602.215
We,6/6/2018,608.01,611.815,593.255,604.405
Tu,5/6/2018,596.885,613.15,576.455,608.015
Mo,4/6/2018,612.235,625.215,579.63,596.885
,,0,,,
Fr,1/6/2018,580.23,589.425,564.205,565.715
Th,31/5/2018,548.56,585.985,547.265,580.225
We,30/5/2018,568.815,585.255,541.28,548.56
Tu,29/5/2018,524.185,572.285,506.67,568.82
Mo,28/5/2018,557.615,574.785,511.578,524.185
,,0,,,
Fr,25/5/2018,590.745,615.85,575.23,583.19
Th,24/5/2018,586.5,608.975,546.645,590.745
We,23/5/2018,654.325,656.94,564.275,586.5
Tu,22/5/2018,697.815,700.45,654.045,654.325
Mo,21/5/2018,723.01,723.115,687.455,697.815
,,0,,,
Fr,18/5/2018,686.825,690.895,657.2,687.29
Th,17/5/2018,694.83,718.188,679.25,686.725
We,16/5/2018,712.225,712.917,675.487,694.83
Tu,15/5/2018,736.397,739.49,707.455,712.225
Mo,14/5/2018,732.385,742.495,685.615,736.46
,,0,,,
Fr,11/5/2018,737.19,740.195,666.665,673.65
Th,10/5/2018,743.99,766.75,731.465,737.19
We,9/5/2018,739.5,760.125,710.015,743.985
Tu,8/5/2018,760.215,775.25,719.892,739.5
Mo,7/5/2018,780.33,794.277,693.242,760.215
,,0,,,
Fr,4/5/2018,754.415,805.22,754.335,785.055
Th,3/5/2018,681.77,774.365,681.77,754.415
We,2/5/2018,663.98,685.605,662.73,681.52
Tu,1/5/2018,671.6,674.325,628.11,663.98
Mo,30/4/2018,680.245,694.205,671.045,671.695
,,0,,,
Fr,27/4/2018,647.95,685.355,646.25,648.905
Th,26/4/2018,636.36,647.95,600.115,647.95
We,25/4/2018,705.577,707.927,596.435,636.36
Tu,24/4/2018,639.468,711.685,639.405,706.067
Mo,23/4/2018,641.345,648.265,617.227,639.468
,,0,,,
Fr,20/4/2018,554.16,595.6,554.037,592.852
Th,19/4/2018,522.612,563.98,519.43,554.16
We,18/4/2018,503.36,523.51,501.55,522.612
Tu,17/4/2018,502.322,521.39,501.405,503.36
Mo,16/4/2018,525.945,537.287,498.927,502.322
,,0,,,
Fr,13/4/2018,467.227,528.625,467.18,493.88
Th,12/4/2018,420.37,476.915,413.847,467.227
We,11/4/2018,411.142,424.6,408.315,420.37
Tu,10/4/2018,390.112,411.837,390.032,411.142
Mo,9/4/2018,398.177,430.872,387.42,390.105
,,0,,,
Fr,6/4/2018,377.495,385.39,362.48,369.04
Th,5/4/2018,381.382,387.152,366.815,377.495
We,4/4/2018,414.122,416.812,370.522,381.382
Tu,3/4/2018,377.895,418.438,377.348,414.232
Mo,2/4/2018,379.222,393.855,375.315,377.895
,,0,,,
Fr,30/3/2018,385.657,411.295,363.66,385.035
Th,29/3/2018,446.267,450.265,384.805,385.78
We,28/3/2018,458.812,465.84,440.03,446.267
Tu,27/3/2018,474.315,496.375,446.95,458.812
Mo,26/3/2018,519.945,535.275,466.992,474.265
,,0,,,
Fr,23/3/2018,527.772,543.133,506.315,524.352
Th,22/3/2018,559.128,578.328,516.085,527.775
We,21/3/2018,558.725,590.182,544.885,559.755
Tu,20/3/2018,541.35,567.202,516.132,558.722
Mo,19/3/2018,488.19,561.477,471.92,541.355
,,0,,,
Fr,16/3/2018,604.923,626.098,584.323,613.787
Th,15/3/2018,614.962,620.318,570.37,604.575
We,14/3/2018,680.287,703.245,611.125,614.965
Tu,13/3/2018,691.582,714.39,678.21,680.352
Mo,12/3/2018,729.607,740.413,675.707,691.693
,,0,,,
Fr,9/3/2018,701.04,711.595,639.362,698.115
