,Date,Open,High,Low ,Close
Fr,8/11/2019,293.62,296.03,272.34,281.67
Th,7/11/2019,304.1,307.57,287.48,293.61
We,6/11/2019,294.07,307.05,289.68,304.1
Tu,5/11/2019,290.43,298.54,284.71,294.07
Mo,4/11/2019,285.97,295.04,281.44,290.43
,,0,,,
Fr,1/11/2019,282.15,284.86,271.59,275.53
Th,31/10/2019,288.92,294.36,270.27,282.2
We,30/10/2019,287.57,304.99,282.72,288.9
Tu,29/10/2019,270.66,296.4,261.97,287.57
Mo,28/10/2019,263.49,275.5,258.42,270.66
,,0,,,
Fr,25/10/2019,215.19,272.97,211.61,252.99
Th,24/10/2019,210.45,219.37,206.99,215.19
We,23/10/2019,229.61,230.98,202.6,210.45
Tu,22/10/2019,235.23,237.4,228.6,229.61
Mo,21/10/2019,224.82,235.92,221.93,235.24
,,0,,,
Fr,18/10/2019,218.25,221.56,210.43,212.13
Th,17/10/2019,216.93,221.59,212.53,218.25
We,16/10/2019,221.24,226.12,214.05,216.93
Tu,15/10/2019,227.1,229.1,218.97,221.24
Mo,14/10/2019,225.99,230.63,221.65,227.1
,,0,,,
Fr,11/10/2019,231.57,235.75,218.98,220.6
Th,10/10/2019,238.61,240.41,229.81,231.57
We,9/10/2019,228.58,241.6,227.93,238.61
Tu,8/10/2019,233.14,239.96,227.08,228.58
Mo,7/10/2019,221.79,237.77,216.97,233.13
,,0,,,
Fr,4/10/2019,221.65,226.1,216.55,224.32
Th,3/10/2019,222.56,228.44,216.93,221.65
We,2/10/2019,225.22,228.01,220.78,222.56
Tu,1/10/2019,225.96,235.93,220.3,225.22
Mo,30/9/2019,215.21,230.75,213.04,226.01
,,0,,,
Fr,27/9/2019,215.75,220.56,209.13,218.98
Th,26/9/2019,229.15,231.71,205.18,215.75
We,25/9/2019,223.73,235.68,218.6,229.15
Tu,24/9/2019,302.84,302.93,215.24,223.73
Mo,23/9/2019,303.16,309.08,298.14,302.84
,,0,,,
Fr,20/9/2019,318,325.53,309.63,312.2
Th,19/9/2019,325.08,328.71,306.63,318
We,18/9/2019,324.85,332.93,318.31,325.08
Tu,17/9/2019,305.75,327.77,302.55,324.85
Mo,16/9/2019,302.63,309.69,299.24,305.75
,,0,,,
Fr,13/9/2019,300.44,302.1,294.37,297.55
Th,12/9/2019,296.96,301.82,292.91,300.44
We,11/9/2019,302.25,306.72,292.24,296.91
Tu,10/9/2019,304.63,311.03,297.44,302.25
Mo,9/9/2019,303.76,312.75,297.59,304.63
,,0,,,
Fr,6/9/2019,288.23,302.5,280.49,285.88
Th,5/9/2019,296.51,297.64,285.79,288.23
We,4/9/2019,303.76,303.93,292.78,296.51
Tu,3/9/2019,293.28,306.03,290.62,303.76
Mo,2/9/2019,281.85,295.23,277.95,293.28
,,0,,,
Fr,30/8/2019,280.12,283.95,271.16,282.12
Th,29/8/2019,290.08,294.01,276.08,280.12
We,28/8/2019,306.9,309.46,285.72,290.08
Tu,27/8/2019,308.68,312.91,302.97,306.9
Mo,26/8/2019,304.07,315.66,301.31,308.7
,,0,,,
Fr,23/8/2019,312.31,316.17,304.97,311.65
Th,22/8/2019,301.9,318.57,294.86,312.31
We,21/8/2019,314.74,317.62,289.82,301.9
Tu,20/8/2019,320.49,326.3,311.53,314.72
Mo,19/8/2019,321.2,327.97,313.26,320.49
,,0,,,
Fr,16/8/2019,319.49,322.2,299.38,312.99
Th,15/8/2019,315.66,322.21,269.33,319.49
We,14/8/2019,342.73,358,307.23,315.66
Tu,13/8/2019,332.09,348.35,326.74,342.73
Mo,12/8/2019,338.75,341.55,327.85,332.09
,,0,,,
Fr,9/8/2019,326.06,335.52,307.98,312.73
Th,8/8/2019,337.63,341.74,325.17,326.08
We,7/8/2019,336.64,345.32,329.35,337.63
Tu,6/8/2019,348.28,354.29,334.95,336.64
Mo,5/8/2019,337.22,354.2,334.56,348.23
,,0,,,
Fr,2/8/2019,328.63,334.68,320.26,323.41
Th,1/8/2019,325.39,330.79,318.67,328.63
We,31/7/2019,319.78,336.94,315.27,325.39
Tu,30/7/2019,305.99,324.83,303.01,319.78
Mo,29/7/2019,302.44,315.05,290.73,305.99
,,0,,,
Fr,26/7/2019,299.2,324.64,295.25,316.36
Th,25/7/2019,299.02,312.53,295.63,299.2
We,24/7/2019,304.46,307.94,282.72,298.93
Tu,23/7/2019,309.79,314.71,293.51,304.46
Mo,22/7/2019,317.04,324.77,301.15,309.79
,,0,,,
Fr,19/7/2019,313.26,319.26,295.76,302.23
Th,18/7/2019,299.25,321.74,284.65,313.26
We,17/7/2019,286.29,308.54,275.38,299.25
Tu,16/7/2019,317.25,322.88,268.75,286.29
Mo,15/7/2019,307.63,325.61,266,317.25
,,0,,,
Fr,12/7/2019,335.4,361.34,333.52,354.9
Th,11/7/2019,387.42,390.86,322.59,335.4
We,10/7/2019,411.74,422.98,380.38,387.41
Tu,9/7/2019,414.18,426.81,410.64,411.74
Mo,8/7/2019,406.25,417.47,403.66,414.18
,,0,,,
Fr,5/7/2019,415.53,415.61,391.25,400.35
Th,4/7/2019,415.21,422.63,407.67,415.53
We,3/7/2019,400.75,415.9,396.63,415.21
Tu,2/7/2019,407.73,421.28,382.39,400.75
Mo,1/7/2019,412.61,418.85,388.81,407.73
,,0,,,
Fr,28/6/2019,402.66,437.95,396.12,429.47
Th,27/6/2019,476.42,488.72,384.91,402.66
We,26/6/2019,467.94,515.24,461.45,476.42
Tu,25/6/2019,467.73,482.94,461.36,467.94
Mo,24/6/2019,479.28,491.4,457.64,467.73
,,0,,,
Fr,21/6/2019,415.05,440.81,410.14,433.52
Th,20/6/2019,412.34,417.57,405.12,415.05
We,19/6/2019,408.56,419.25,404.92,412.34
Tu,18/6/2019,431.33,435.44,402.25,408.56
Mo,17/6/2019,428.3,437.25,420.7,431.34
,,0,,,
Fr,14/6/2019,417.84,422.1,401.34,407.22
Th,13/6/2019,391.44,423.72,387.65,417.84
We,12/6/2019,391.54,400.22,383.94,391.44
Tu,11/6/2019,390.07,396.74,379.26,391.56
Mo,10/6/2019,378.7,398.9,372.12,390.07
,,0,,,
Fr,7/6/2019,383.05,410.15,382.42,398.7
Th,6/6/2019,393.67,401.72,372.16,383.05
We,5/6/2019,376.97,414.63,367.46,393.67
Tu,4/6/2019,427.79,428.16,366.21,376.97
Mo,3/6/2019,439.12,447.6,419.2,427.79
,,0,,,
Fr,31/5/2019,439.85,442.79,401.65,434.96
Th,30/5/2019,454.39,481.8,436.35,439.82
We,29/5/2019,437.19,461.47,419.68,454.39
Tu,28/5/2019,430.55,445.31,425.52,437.4
Mo,27/5/2019,404.24,449.43,404.19,430.55
,,0,,,
Fr,24/5/2019,401.9,423.4,395.1,416.51
Th,23/5/2019,404.86,405.55,369.45,401.9
We,22/5/2019,426,428.35,396.61,404.86
Tu,21/5/2019,414.37,441.9,399.24,426
Mo,20/5/2019,419.51,432.35,382.52,413.08
,,0,,,
Fr,17/5/2019,386.01,412.2,338,357.69
Th,16/5/2019,393.79,449.65,381.29,386.15
We,15/5/2019,372.06,404.36,367.95,393.79
Tu,14/5/2019,390.33,408.91,363.75,372.06
Mo,13/5/2019,353.28,401.65,346.29,390.33
,,0,,,
Fr,10/5/2019,282.79,295.07,276.46,287.46
Th,9/5/2019,282.54,291.15,274.87,282.79
We,8/5/2019,283.88,293.49,270.32,282.54
Tu,7/5/2019,287.13,297.86,282.15,283.89
Mo,6/5/2019,291.54,295.99,274.28,287.13
,,0,,,
Fr,3/5/2019,264.64,295.4,262.3,287.43
Th,2/5/2019,268.2,277.2,261.75,264.69
We,1/5/2019,253.22,277.14,251.55,266.8
Tu,30/4/2019,235.7,257.9,228.2,251.35
Mo,29/4/2019,253,254.02,231.71,235.7
,,0,,,
Fr,26/4/2019,282.77,283.82,250.85,257.22
Th,25/4/2019,274.75,284.24,273.49,282.78
We,24/4/2019,296.4,296.57,269.35,274.75
Tu,23/4/2019,293.72,311.69,291.03,296.4
Mo,22/4/2019,283.43,296.96,283.26,293.72
,,0,,,
Fr,19/4/2019,309.25,312.72,290.89,304.95
Th,18/4/2019,310.58,314.72,304.32,309.24
We,17/4/2019,318.57,321.71,304.45,310.58
Tu,16/4/2019,313.65,324.57,303,318.57
Mo,15/4/2019,282.3,332.76,279.88,313.65
,,0,,,
Fr,12/4/2019,271.7,289.85,259.19,275.77
Th,11/4/2019,303.84,306.07,257.2,269.47
We,10/4/2019,299.07,314.58,294.59,303.84
Tu,9/4/2019,309.93,312.39,295.07,299.12
Mo,8/4/2019,318.36,329.28,296.07,309.94
,,0,,,
Fr,5/4/2019,284.19,301.95,280.65,292.88
Th,4/4/2019,342.13,348.98,269.68,284.2
We,3/4/2019,218.59,346.59,218.48,342.13
Tu,2/4/2019,166.67,220.43,166.58,218.59
Mo,1/4/2019,167.2,169.57,166.29,166.67
,,0,,,
Fr,29/3/2019,168.02,171.46,166.95,170.62
Th,28/3/2019,167.3,172.9,165.31,167.97
We,27/3/2019,157.66,170.5,155.9,167.36
Tu,26/3/2019,156.68,160.11,152.53,156.13
Mo,25/3/2019,162.57,165.1,155.38,156.68
,,0,,,
Fr,22/3/2019,154.07,159.68,150.75,156.74
Th,21/3/2019,157.33,160.26,147.57,154.07
We,20/3/2019,158.9,159.96,153.45,157.33
Tu,19/3/2019,160.08,161.51,154.71,158.9
Mo,18/3/2019,153.31,165.65,152.79,160.08
,,0,,,
Fr,15/3/2019,131.3,145.11,130.67,142.82
Th,14/3/2019,128.6,134.52,126.96,131.3
We,13/3/2019,127.31,129.65,125.85,127.18
Tu,12/3/2019,127.44,131.15,125.17,127.31
Mo,11/3/2019,130.42,132.15,126.35,128.78
,,0,,,
Fr,8/3/2019,130.3,131.4,125.69,128.61
Th,7/3/2019,130.35,133.2,129.6,130.3
We,6/3/2019,130.39,133.51,128.68,130.35
Tu,5/3/2019,123.1,133.56,122.22,130.39
Mo,4/3/2019,129.47,132.68,120.4,123.18
,,0,,,
Fr,1/3/2019,129.77,133.16,128.02,132.46
Th,28/2/2019,129.15,133.18,127.64,129.77
We,27/2/2019,131.05,133.93,126.87,129.15
Tu,26/2/2019,133.11,137.01,130.45,131.07
Mo,25/2/2019,130.58,137.9,126.34,133.11
,,0,,,
Fr,22/2/2019,139.95,143.83,138.95,141.9
Th,21/2/2019,144.57,146.87,138.2,139.95
We,20/2/2019,143.38,147.43,137.7,144.57
Tu,19/2/2019,140.5,150.19,138.6,143.38
Mo,18/2/2019,120.43,148.46,119.7,140.5
,,0,,,
Fr,15/2/2019,120.5,124.73,119.33,121.1
Th,14/2/2019,120.29,123.72,118.53,120.55
We,13/2/2019,120.55,126.6,119.4,120.29
Tu,12/2/2019,122.67,123.63,117.05,120.56
Mo,11/2/2019,123.86,126.9,119.45,120.97
,,0,,,
Fr,8/2/2019,114.79,131.83,112.89,127.52
Th,7/2/2019,114.33,118.11,112.54,114.79
We,6/2/2019,117.79,121.47,110.09,114.33
Tu,5/2/2019,117.83,120.34,115.65,117.8
Mo,4/2/2019,117.64,119.94,115.38,117.84
,,0,,,
Fr,1/2/2019,114.88,117.6,109.94,115.23
Th,31/1/2019,116.19,120.05,112.23,114.88
We,30/1/2019,109.83,119.63,107.32,116.19
Tu,29/1/2019,110.1,112.72,106.36,109.83
Mo,28/1/2019,122.35,123.95,105.55,109.15
,,0,,,
Fr,25/1/2019,128.45,129.93,125.13,125.9
Th,24/1/2019,130.9,134.18,126.05,128.45
We,23/1/2019,126.7,134.9,125.9,130.9
Tu,22/1/2019,121.18,131.39,117.28,126.7
Mo,21/1/2019,122.27,124.35,120.2,122.31
,,0,,,
Fr,18/1/2019,128.71,130.75,124.88,125.92
Th,17/1/2019,128.03,131.68,125.11,128.71
We,16/1/2019,126.54,131.43,125.15,128.03
Tu,15/1/2019,132.85,134.25,125.18,126.54
Mo,14/1/2019,124.83,136.97,121.74,132.85
,,0,,,
Fr,11/1/2019,134.86,135.52,127.08,130.42
Th,10/1/2019,158.67,163.95,131.08,134.86
We,9/1/2019,158.58,161.8,156.36,158.67
Tu,8/1/2019,161.09,163.17,156.84,158.58
Mo,7/1/2019,166.56,167.43,159.95,161.09
,,0,,,
Fr,4/1/2019,162.6,164.98,152.74,161.64
Th,3/1/2019,168.39,175.2,156.99,162.57
We,2/1/2019,159.49,169.03,158.96,168.4
Tu,1/1/2019,152.4,166.9,145.29,159.49
Mo,31/12/2018,163.5,164.69,149.07,152.44
,,0,,,
Fr,28/12/2018,154.24,178.88,140.65,173.29
Th,27/12/2018,174.62,176.54,146.32,154.13
We,26/12/2018,169.38,186.01,162.9,174.62
Tu,25/12/2018,184.69,186.99,150.04,169.38
Mo,24/12/2018,197.09,213.46,176.25,184.68
,,0,,,
Fr,21/12/2018,190.65,228.75,173.68,188.52
Th,20/12/2018,127.33,206.2,122.11,190.38
We,19/12/2018,99.42,146.16,99.35,127.32
Tu,18/12/2018,88.15,104.48,85.07,99.42
Mo,17/12/2018,79.82,91.79,78.28,88.15
,,0,,,
Fr,14/12/2018,90.84,90.84,76.68,76.82
Th,13/12/2018,98.55,99.33,88.46,90.67
We,12/12/2018,98.28,100.26,94.4,98.55
Tu,11/12/2018,101.37,103.6,92.63,98.28
Mo,10/12/2018,108.74,110.02,99.25,101.37
,,0,,,
Fr,7/12/2018,114.66,125.48,94.44,105.36
Th,6/12/2018,132.04,145.72,111.67,114.66
We,5/12/2018,147.33,164.04,130.09,130.1
Tu,4/12/2018,159.19,164.27,145.9,147.32
Mo,3/12/2018,172.29,186.91,154.2,159.6
,,0,,,
Fr,30/11/2018,176.76,197.41,164.23,169.9
Th,29/11/2018,191.52,202.61,173.65,176.76
We,28/11/2018,177.97,207.89,173.53,191.55
Tu,27/11/2018,176.53,190.65,166.71,177.98
Mo,26/11/2018,172.22,210.05,164.66,176.53
,,0,,,
Fr,23/11/2018,217.35,232.62,191.96,212.22
Th,22/11/2018,247.6,255.5,212.15,217.35
We,21/11/2018,254.55,274.88,233.59,242.15
Tu,20/11/2018,265.74,308.34,217.68,254.55
Mo,19/11/2018,366.77,373.18,259.27,265.74
,,0,,,
Fr,16/11/2018,384.25,392.2,356.97,362.95
Th,15/11/2018,425.01,450.62,362.44,383.69
We,14/11/2018,511.83,518.03,404.93,425.01
Tu,13/11/2018,509.82,537.78,495.86,511.63
Mo,12/11/2018,519.13,534.61,496.36,509.7
,,0,,,
Fr,9/11/2018,588.5,593.45,534.15,535.84
Th,8/11/2018,614.74,619.61,575.01,589.1
We,7/11/2018,614.84,637.62,605.11,614.18
Tu,6/11/2018,552.82,616.12,546.75,615.8
Mo,5/11/2018,582.23,585.85,535.95,553.14
,,0,,,
Fr,2/11/2018,422.2,469.57,421.47,461.06
Th,1/11/2018,423.76,424.86,419.72,422.34
We,31/10/2018,413.98,428.69,407.18,423.82
Tu,30/10/2018,411.37,416.61,409.95,413.69
Mo,29/10/2018,434.38,437.47,408.65,411.36
,,0,,,
Fr,26/10/2018,437.62,439.74,431.96,434.45
Th,25/10/2018,447.63,448.55,435.02,437.63
We,24/10/2018,447.76,453.16,436.84,447.63
Tu,23/10/2018,453.62,453.62,434.42,447.76
Mo,22/10/2018,459.58,460.48,439.32,453.62
,,0,,,
Fr,19/10/2018,435.52,451.47,425.61,446.49
Th,18/10/2018,447.13,460.41,429.43,435.52
We,17/10/2018,462.34,465.61,439.35,447.13
Tu,16/10/2018,459.79,473.81,443.79,462.34
Mo,15/10/2018,447.06,494.83,426.2,459.79
,,0,,,
Fr,12/10/2018,447.94,458.06,423.22,448.69
Th,11/10/2018,517.58,517.58,438.35,447.83
We,10/10/2018,516.27,521.06,503.65,517.58
Tu,9/10/2018,529.81,531.56,513.18,516.27
Mo,8/10/2018,514.91,533.66,511.48,529.81
,,0,,,
Fr,5/10/2018,517.96,518.57,506.8,510.91
Th,4/10/2018,513.75,530.74,509.45,517.96
We,3/10/2018,535.72,542.39,505.53,513.75
Tu,2/10/2018,527.87,551.77,522.92,535.72
Mo,1/10/2018,535.29,541.81,516.4,528.08
,,0,,,
Fr,28/9/2018,562.38,575.87,530.83,538.04
Th,27/9/2018,535.11,587.35,505.75,562.38
We,26/9/2018,434.87,544.14,432.79,535.11
Tu,25/9/2018,467.81,469.03,424.33,435.27
Mo,24/9/2018,489.6,494.5,461.19,467.81
,,0,,,
Fr,21/9/2018,427.62,511.4,426.47,495.08
Th,20/9/2018,435.51,448.42,423.65,427.62
We,19/9/2018,430.76,440.69,408.13,435.5
Tu,18/9/2018,411.56,449.04,410.03,430.76
Mo,17/9/2018,439.7,461.84,408.88,411.56
,,0,,,
Fr,14/9/2018,468.48,475.72,440.64,457.07
Th,13/9/2018,427.87,475.89,425.28,468.48
We,12/9/2018,435.14,445.7,409.83,427.87
Tu,11/9/2018,465.45,476.98,425.58,435.14
Mo,10/9/2018,484.77,490.16,462.42,465.45
,,0,,,
Fr,7/9/2018,508.09,527.76,492.45,498.46
Th,6/9/2018,545.86,547.78,487.42,508.09
We,5/9/2018,628.49,632.39,524.91,545.85
Tu,4/9/2018,631.02,649.95,623.03,628.49
Mo,3/9/2018,641.23,656.19,621.99,630.92
,,0,,,
Fr,31/8/2018,536.43,547.69,531.98,543.3
Th,30/8/2018,555.7,559.95,525.51,536.41
We,29/8/2018,565.84,569.39,544.81,555.7
Tu,28/8/2018,529.9,573.4,525.95,565.84
Mo,27/8/2018,522.78,534.14,518.73,529.89
,,0,,,
Fr,24/8/2018,518.76,538.58,518.24,529.36
Th,23/8/2018,515.4,531.63,508.61,518.76
We,22/8/2018,528.22,575.02,512.56,515.39
Tu,21/8/2018,543.8,543.86,509.53,528.22
Mo,20/8/2018,562.8,576.68,536.85,543.8
,,0,,,
Fr,17/8/2018,521.42,567.82,513.83,557.2
Th,16/8/2018,515.98,537.95,503.11,521.42
We,15/8/2018,486.63,539.8,484.05,515.98
Tu,14/8/2018,533.78,534.18,471.54,486.63
Mo,13/8/2018,574.5,593.07,526.39,533.78
,,0,,,
Fr,10/8/2018,607.35,619.41,572.56,578.47
Th,9/8/2018,591.76,620.4,576.1,607.35
We,8/8/2018,673.35,673.35,565.79,591.76
Tu,7/8/2018,688.53,712.24,671.96,673.35
Mo,6/8/2018,697.63,716.49,685.51,688.53
,,0,,,
Fr,3/8/2018,734.47,735.43,700.78,717.74
Th,2/8/2018,745.52,773.02,722.45,734.47
We,1/8/2018,767.96,777.77,734.82,745.52
Tu,31/7/2018,812.39,817.29,760.29,767.96
Mo,30/7/2018,828.34,838.89,785.29,812.39
,,0,,,
Fr,27/7/2018,822.14,828.65,781.06,826.32
Th,26/7/2018,837.72,861.39,822.13,822.14
We,25/7/2018,849.18,877.37,817.65,837.72
Tu,24/7/2018,788.37,877.21,772.25,849.18
Mo,23/7/2018,807.68,832.74,779.84,788.08
,,0,,,
Fr,20/7/2018,816.44,830.38,767.03,777.77
Th,19/7/2018,822.15,843.87,805.67,816.45
We,18/7/2018,845.23,889.44,804.49,822.15
Tu,17/7/2018,799.08,873.49,781.16,845.23
Mo,16/7/2018,721.61,808.56,716.38,799.08
,,0,,,
Fr,13/7/2018,678.78,710.44,661.94,693.42
Th,12/7/2018,696.84,709.01,673.46,678.78
We,11/7/2018,699.08,711.22,683.51,696.84
Tu,10/7/2018,741.58,759.82,688.68,698.81
Mo,9/7/2018,767.04,770.14,734.82,741.58
,,0,,,
Fr,6/7/2018,727.1,743.27,698.4,730.08
Th,5/7/2018,775.5,785.29,715.52,727.1
We,4/7/2018,773.28,810.61,738.28,775.5
Tu,3/7/2018,785.95,831.08,760.76,773.28
Mo,2/7/2018,726.54,796.97,721.35,785.95
,,0,,,
Fr,29/6/2018,683.37,683.6,648.91,665.82
Th,28/6/2018,709.19,722.85,679.86,683.37
We,27/6/2018,719.67,726,686.76,709.19
Tu,26/6/2018,754.15,759.65,712.2,719.67
Mo,25/6/2018,752.56,780.06,735.71,754.15
,,0,,,
Fr,22/6/2018,870.1,873.69,736.76,745.74
Th,21/6/2018,883.91,904.44,866.86,870.1
We,20/6/2018,891.22,908.85,863.21,883.94
Tu,19/6/2018,888.71,928.51,874.49,891.22
Mo,18/6/2018,847.8,900.13,824.77,888.71
,,0,,,
Fr,15/6/2018,895.15,899.46,850.19,857.61
Th,14/6/2018,827.34,907.3,822.45,895.32
We,13/6/2018,866.45,881.62,801.08,827.34
Tu,12/6/2018,925.35,968.03,847.15,866.44
Mo,11/6/2018,967.69,977.57,896.98,925.35
,,0,,,
Fr,8/6/2018,1136.07,1150.32,1086.9,1120.78
Th,7/6/2018,1131.58,1169.98,1120.99,1136.05
We,6/6/2018,1154.08,1158.97,1096.61,1131.58
Tu,5/6/2018,1117.52,1160.07,1046.55,1154.07
Mo,4/6/2018,1149.62,1210.37,1074.92,1117.52
,,0,,,
Fr,1/6/2018,998.15,1010.98,973.68,987.05
Th,31/5/2018,967.84,1029.22,963.18,998.15
We,30/5/2018,1001.89,1027.65,948.48,968.02
Tu,29/5/2018,919.92,1006.49,871.18,1001.89
Mo,28/5/2018,981.43,1004.67,908.58,919.91
,,0,,,
Fr,25/5/2018,1052.98,1080.43,994.05,1013.44
Th,24/5/2018,1028.12,1068.54,944.86,1052.94
We,23/5/2018,1146.38,1151.51,967.9,1027.53
Tu,22/5/2018,1239.4,1240.08,1145.61,1146.38
Mo,21/5/2018,1292.52,1311.32,1213.6,1239.4
,,0,,,
Fr,18/5/2018,1226.83,1227.35,1127.91,1203.85
Th,17/5/2018,1262.42,1342.79,1212.93,1226.83
We,16/5/2018,1347.3,1356.01,1215.32,1262.42
Tu,15/5/2018,1449.32,1453.59,1336.1,1347.35
Mo,14/5/2018,1471.05,1494.32,1328.54,1449.28
,,0,,,
Fr,11/5/2018,1553.51,1568.66,1316.21,1350
Th,10/5/2018,1633.9,1664.5,1536.85,1553.48
We,9/5/2018,1566.63,1674.63,1461.24,1633.93
Tu,8/5/2018,1668.32,1693.33,1549.47,1566.63
Mo,7/5/2018,1753.05,1776.45,1564.18,1668.32
,,0,,,
Fr,4/5/2018,1499.41,1539.34,1461,1515.49
Th,3/5/2018,1451.05,1540.5,1449.11,1499.4
We,2/5/2018,1298.96,1491.65,1298.36,1451.05
Tu,1/5/2018,1376.04,1376.39,1246.29,1298.96
Mo,30/4/2018,1427.92,1449.86,1374.23,1376.09
,,0,,,
Fr,27/4/2018,1361.3,1425.85,1342.75,1348.03
Th,26/4/2018,1329.3,1374.95,1244.44,1361.3
We,25/4/2018,1464.69,1481.86,1228.48,1329.28
Tu,24/4/2018,1402.34,1571.11,1388.76,1464.67
Mo,23/4/2018,1191.66,1456.07,1179.64,1402.32
,,0,,,
Fr,20/4/2018,956.8,1140.35,941.83,1113.71
Th,19/4/2018,886.25,983.34,871.21,956.8
We,18/4/2018,760.95,897.48,754.99,886.25
Tu,17/4/2018,757.51,787.91,751.43,760.96
Mo,16/4/2018,778.34,798.91,742.16,757.5
,,0,,,
Fr,13/4/2018,710,785.83,707.38,747.22
Th,12/4/2018,652.14,737.01,649.26,710
We,11/4/2018,649.7,656.29,645.65,652.19
Tu,10/4/2018,630.17,658.59,625.22,649.7
Mo,9/4/2018,652.86,680.72,623.56,630.35
,,0,,,
Fr,6/4/2018,639.11,646.22,601.49,607.55
Th,5/4/2018,645.64,655.71,617.25,639.1
We,4/4/2018,706.65,709.45,634.85,645.64
Tu,3/4/2018,661.22,722.02,652.41,706.65
Mo,2/4/2018,654.05,685.55,637.35,661.22
,,0,,,
Fr,30/3/2018,709.17,769.98,672.32,694.12
Th,29/3/2018,853.42,867.05,709.07,709.16
We,28/3/2018,891.67,896.95,851.6,853.42
Tu,27/3/2018,884.95,929.12,875.15,891.61
Mo,26/3/2018,979.67,988.95,882.47,884.95
,,0,,,
Fr,23/3/2018,999.98,1017.1,958.86,1003.22
Th,22/3/2018,1020.5,1064.88,984.36,999.91
We,21/3/2018,1045.76,1083.28,1005.98,1020.5
Tu,20/3/2018,965.15,1074.9,950.59,1047.63
Mo,19/3/2018,868.58,1000.45,856.01,964.9
,,0,,,
Fr,16/3/2018,935.29,1062.1,894.79,1019.41
